Ebnets Bauernhöfe,47.986273,7.905915,Pokestop
Wasserspeier Zentralhotel,47.997415,7.851505,Pokestop
Kaiserstier,47.996872,7.851845,Pokestop
St. Nepomuk,47.987371,7.896606,Pokestop
Goldhuus,47.998008,7.854229,Pokestop
Festung Freiburger Schlossberg - Die Peterskirche,47.997431,7.867329,Pokestop
Wine in the City,47.99703,7.845898,Pokestop
KTS,47.986006,7.831103,Pokestop
Freiburg: Column Portal,48.000302,7.852308,Pokestop
Sonnenuhr & Uhr - für Regentage,47.999584,7.845498,Pokestop
,48.003151,7.845024,Pokestop
Sikawild,48.08614,7.958198,Pokestop
kleines Steinportal,48.007788,7.869689,Pokestop
Wasserschloß,47.979015,7.915247,Pokestop
Kleiner Steinmetzbogen,47.982833,7.832445,Pokestop
Flower Power,48.001017,7.84775,Pokestop
Stone Woman,48.048688,7.862545,Pokestop
Siegesdenkmal,47.998144,7.851569,Pokestop
Stadt Freiburg Stein,47.989834,7.894131,Pokestop
Fässlestemmer,48.042451,7.866293,Pokestop
Adler im Zoo,48.086841,7.959896,Pokestop
Eingang Friedhof Gundelfingen,48.045775,7.867731,Pokestop
Wegkreuz Zähringen Oberdorf,48.016599,7.8653,Pokestop
Frosch Kinderklinik,48.003409,7.843476,Pokestop
Biologische Untersuchungsstation,47.980208,7.911503,Pokestop
Café Velo,47.996594,7.839558,Pokestop
White Dragon,48.01118,7.810919,Pokestop
Big Boulder,47.996283,7.873394,Pokestop
Rutschenturm,48.004467,7.818518,Pokestop
Kirche Betzenhausen,48.009631,7.808021,Pokestop
Matthäuskirche - Jugendtreff,48.008956,7.813979,Pokestop
Klettergerüst Oktagon,48.007113,7.812409,Pokestop
Maximilian Dortu's Crypt,47.985846,7.857125,Pokestop
St. Barbara Church,47.980125,7.897548,Pokestop
Wasch und Backhaus,48.022767,7.860631,Pokestop
Trophy at Night,48.01167,7.841475,Pokestop
Broken Arm Statue,48.008558,7.83998,Pokestop
Stadtrat Karl Walterspiel,47.96618,7.836113,Pokestop
Der Merkur,47.987973,7.898235,Pokestop
Goldmarie,48.008677,7.846826,Pokestop
Waschanlagenkirche,48.018699,7.842661,Pokestop
Fabrik Sonntag,48.097844,7.967188,Pokestop
Der Mars,47.988603,7.897108,Pokestop
Fische sind Freunde,47.995222,7.843665,Pokestop
Lux Aeterna,48.007404,7.871225,Pokestop
Mach Mal Pause,48.027549,7.845635,Pokestop
Waldkirch Burghütte,48.097935,7.957417,Pokestop
Narrenbrunnen,48.093345,7.960878,Pokestop
Berufliches Schulzentrum,47.999781,7.826043,Pokestop
"Graffiti ""Sport""",47.996812,7.843383,Pokestop
Brunnen bei Nacht,47.996815,7.856622,Pokestop
Loretto Brunnen,47.984444,7.847777,Pokestop
Die Venus,47.988198,7.897871,Pokestop
Spielplatz am EKZ,47.994938,7.810651,Pokestop
Matsuyama,47.996373,7.849397,Pokestop
Kinderhaus Fang Die Maus,48.004257,7.816031,Pokestop
Angler Am Rabenturm,48.093876,7.959391,Pokestop
Kopfüber,48.085857,7.958177,Pokestop
Weird Metal Thingamagiggy,48.028976,7.807676,Pokestop
Schachmatt,48.004886,7.809802,Pokestop
Jugendtreff,48.067858,7.894823,Pokestop
Der Kran,47.980383,7.902789,Pokestop
Alien Ice Cream,47.998164,7.849284,Pokestop
Die drei Schönen,47.974767,7.908968,Pokestop
Rechtmediziner,48.000749,7.851324,Pokestop
Krozinger Straße,47.992861,7.810141,Pokestop
Leichtathletik,48.071388,7.897996,Pokestop
Eule,48.009201,7.803553,Pokestop
Drehscheibe,47.993427,7.810877,Pokestop
Kultur und Bürgerhaus,48.068206,7.897965,Pokestop
Grafitti am Service Center Studium,47.994788,7.844112,Pokestop
Gedenktafel,47.981159,7.899721,Pokestop
Dank den Schweizern,47.984925,7.854106,Pokestop
Graffiti Heads,48.069742,7.89612,Pokestop
Stadtkapelle,48.093286,7.960232,Pokestop
Weingarten Mosaik,47.99452,7.810071,Pokestop
Statue Alexander Ecker,48.000941,7.850436,Pokestop
Scheffelhof,48.094336,7.96506,Pokestop
Steinman Mit Mütze,47.991697,7.880158,Pokestop
Europa Wir Kommen,47.987688,7.873265,Pokestop
Pyramide,47.995289,7.81054,Pokestop
Holzeule 1,48.072607,7.893046,Pokestop
Freiburger Wasserweg,47.982515,7.904379,Pokestop
Heimat,47.998239,7.848161,Pokestop
Beachvolleyball,48.071417,7.897231,Pokestop
Gewaltopfer Baum,47.9961,7.846522,Pokestop
